word,count,rating
big,7,1
lone,7,-1
extra,5,1
new,4,2
jealous,3,-2
bad,3,-3
green,3,1
sharp,3,1
fake,3,-2
real,2,1
honest,2,2
wrong,2,-2
clear,2,2
sick,2,-3
mad,2,-3
fair,2,1
foul,2,-5
afraid,2,-3
nice,2,2
fat,2,-3
free,1,3
blind,1,-3
strong,1,2
weak,1,-2
golden,1,1
sad,1,-2
human,1,2
righteous,1,-2
cool,1,2
lame,1,-2
old,1,-1
cold,1,-1
social,1,1
civil,1,1
absurd,1,-3
dead,1,-3
poor,1,-2
silent,1,2
quick,1,2
safe,1,1
wild,1,-1
pure,1,1
tall,1,1
clever,1,3
correct,1,3
blunt,1,-1
warm,1,1
glad,1,2
glorious,1,5
bitter,1,-2
loud,1,-2
endless,1,-1
okay,1,1
clean,1,2
bare,1,-1
rough,1,-1
fresh,1,2
vicious,1,-5
dark,1,-1
vain,1,-2
helpless,1,-3
worthless,1,-4
