word,count,rating
civil,9,1
old,8,-1
wild,8,-1
cool,5,2
hot,4,1
silent,3,2
golden,2,1
big,2,1
sad,2,-2
sweet,2,3
warm,2,1
human,2,2
quiet,2,1
perfect,1,5
wrong,1,-2
real,1,1
great,1,4
new,1,2
bright,1,3
usual,1,1
neat,1,2
okay,1,1
free,1,3
dark,1,-1
ancient,1,-1
afraid,1,-3
tragic,1,-3
clear,1,2
quick,1,2
broken,1,-3
mystic,1,1
bad,1,-3
sick,1,-3
dead,1,-3
gray,1,-1
proper,1,1
precious,1,3
righteous,1,-2
glad,1,2
poor,1,-2
fake,1,-2
soft,1,1
pure,1,1
tall,1,1
foolish,1,-2
cruel,1,-4
small,1,-1
cold,1,-1
endless,1,-1
sharp,1,1
mellow,1,1
