word,count,rating
lean,6,-1
loud,6,-2
drunk,4,-4
human,3,2
dumb,3,-3
okay,3,1
perfect,3,5
tough,3,-2
wrong,2,-2
hot,2,1
bare,2,-1
strong,2,2
fat,2,-3
sweet,2,3
rich,2,3
fresh,2,2
poor,2,-2
glad,2,2
grey,2,-1
free,1,3
dead,1,-3
bad,1,-3
cruel,1,-4
new,1,2
cold,1,-1
blunt,1,-1
broken,1,-3
silent,1,2
solid,1,1
dark,1,-1
clear,1,2
wise,1,3
clever,1,3
honest,1,2
real,1,1
big,1,1
sick,1,-3
warm,1,1
nice,1,2
soft,1,1
hollow,1,-2
serious,1,-1
neat,1,2
narrow,1,-1
old,1,-1
green,1,1
rare,1,1
lone,1,-1
endless,1,-1
restless,1,-1
odd,1,-1
usual,1,1
sad,1,-2
great,1,4
mad,1,-3
jealous,1,-2
obvious,1,-2
lame,1,-2
safe,1,1
special,1,3
modern,1,2
cool,1,2
clean,1,2
calm,1,2
tragic,1,-3
equal,1,1
weak,1,-2
stupid,1,-4
quick,1,2
cheap,1,-1
upset,1,3
tame,1,-1
proud,1,1
extra,1,1
blind,1,-3
fake,1,-2
slow,1,-1
afraid,1,-3
bright,1,3
numb,1,-2
small,1,-1
smart,1,2
vicious,1,-5
righteous,1,-2
famous,1,3
fair,1,1
