word,count,rating
precious,18,3
safe,9,1
cute,4,3
fond,4,2
afraid,3,-3
free,3,3
vain,3,-2
vicious,2,-5
dead,2,-3
new,2,2
fair,2,1
mad,2,-3
quiet,2,1
big,2,1
stupid,2,-4
upset,2,3
small,2,-1
perfect,2,5
silent,2,2
glad,2,2
pale,2,-1
old,1,-1
cold,1,-1
young,1,1
slow,1,-1
hot,1,1
warm,1,1
special,1,3
clear,1,2
sad,1,-2
weak,1,-2
grand,1,4
pure,1,1
righteous,1,-2
raw,1,-1
alien,1,-2
mistaken,1,-2
wrong,1,-2
real,1,1
dark,1,-1
fake,1,-2
blind,1,-3
broken,1,-3
wild,1,-1
strong,1,2
ancient,1,-1
tame,1,-1
fearless,1,3
endless,1,-1
grey,1,-1
great,1,4
tall,1,1
fresh,1,2
sick,1,-3
lone,1,-1
nice,1,2
clever,1,3
dire,1,-2
fat,1,-3
loud,1,-2
lame,1,-2
sweet,1,3
rough,1,-1
bad,1,-3
equal,1,1
faint,1,-1
proud,1,1
moral,1,2
careless,1,-1
human,1,2
okay,1,1
serious,1,-1
famous,1,3
cool,1,2
soft,1,1
tough,1,-2
correct,1,3
green,1,1
senseless,1,-3
quick,1,2
clean,1,2
bright,1,3
worthless,1,-4
distant,1,-1
foolish,1,-2
hollow,1,-2
smart,1,2
nervous,1,-1
worst,1,-5
extra,1,1
wise,1,3
blank,1,-1
bitter,1,-2
dumb,1,-3
drunk,1,-4
smooth,1,1
usual,1,1
restless,1,-1
brutal,1,-5
cruel,1,-4
