Year,loud,tempo,dur,hotness,famil,NumberOfSongs
0,-11.699798488664987,120.95878841309822,236.84698833753154,0.046456526607455514,0.34012009652799285,397
1989,-8.91,97.099,168.75057,0,0.7477086693197713,1
1992,-15.019,71.705,175.22893,0.26586104921065007,0.3004990465562955,1
1994,-10.8745,98.19399999999999,211.30404000000001,0,0.1972252457894162,2
1998,-11.689,112.964,482.21995,0.21508031850922793,0.5842661817279184,1
1999,-5.298,127.585,340.4273,0.48023874797942395,0.6379952871042047,1
2000,-8.765,99.546,242.62485,0,0.5548518975261917,1
2001,-8.559999999999999,125.62,241.99791499999998,0.3271362679760428,0.4101459923104806,2
2002,-14.3315,115.84125,204.7734225,0,0.36204538514284823,4
2003,-11.238,105.39666666666666,208.60471666666663,0.5026663564245443,0.5762168606051544,3
2004,-12.109200000000001,112.5912,244.72509600000004,0.05076694722644626,0.4108332783948936,5
2005,-5.056333333333334,123.19933333333334,244.76689000000002,0.21288224096525868,0.5568586598610447,3
2006,-6.0809,128.33259999999999,279.88852599999996,0.29116897556882193,0.5906457679335332,10
2007,-6.5292,106.51419999999999,330.90828,0.12425833071120426,0.4591099107578871,5
2008,-7.440142857142858,162.06128571428573,327.02275142857144,0.37274985957936846,0.5129444442851827,7
2009,-8.159777777777778,127.95155555555556,189.75591777777774,0.28284402397103214,0.43774245897230557,9
