word,count
time,31
love,28
cri,25
yeah,21
babi,16
rock,15
side,12
home,11
round,10
heart,9
run,9
soul,7
way,7
crazi,7
pleas,6
parti,6
que,6
sound,6
comin,6
day,5
rememb,5
minha,5
man,5
stop,5
moon,5
til,5
goin,5
reel,5
boy,5
use,5
need,4
someth,4
chang,4
whi,4
walk,4
door,4
caus,4
um,4
treat,4
woman,4
answer,4
phone,4
fool,4
wanna,3
believ,3
everyth,3
start,3
wast,3
night,3
danc,3
johnni,3
gonna,3
free,3
te,3
como,3
em,3
teu,3
joint,3
darlin,3
ha,3
feel,2
look,2
thing,2
onli,2
dream,2
insid,2
true,2
style,2
wors,2
goal,2
hand,2
mine,2
good,2
wait,2
befor,2
mani,2
eu,2
vida,2
meu,2
tanto,2
sempr,2
sem,2
trist,2
ela,2
canto,2
ond,2
primavera,2
blue,2
talk,2
sad,2
bed,2
shame,2
bread,2
switch,2
cook,2
place,2
whoa,2
pack,2
call,2
end,2
care,2
hate,2
street,2
smart,2
live,1
tri,1
new,1
beat,1
trust,1
leav,1
play,1
same,1
smile,1
reason,1
nobodi,1
king,1
ring,1
wear,1
queen,1
record,1
suppos,1
surpris,1
holdin,1
birthday,1
life,1
light,1
real,1
town,1
kind,1
rest,1
search,1
worri,1
desir,1
da,1
das,1
nada,1
porqu,1
pra,1
tempo,1
"""sÃ³""",1
hora,1
quero,1
mim,1
pena,1
amo,1
"""tÃ£o""",1
noit,1
faz,1
"""hÃ¡""",1
partir,1
quanto,1
volta,1
estou,1
"""cÃ©u""",1
sorriso,1
saudad,1
"""tambÃ©m""",1
escond,1
nossa,1
diz,1
lua,1
work,1
money,1
wash,1
cloth,1
slave,1
stay,1
move,1
sweet,1
chanc,1
feet,1
lock,1
front,1
c,1
seat,1
polic,1
clap,1
oclock,1
twelv,1
hold,1
break,1
cold,1
onc,1
arm,1
wall,1
darl,1
chain,1
bye,1
prison,1
sake,1
vow,1
bind,1
sneak,1
eye,1
gotta,1
fun,1
somewher,1
card,1
waitin,1
sayin,1
world,1
littl,1
sin,1
bad,1
hurt,1
cool,1
bout,1
bit,1
forgiv,1
foolish,1
