word,count
light,15
gonna,14
blue,11
morn,10
littl,9
clear,9
everyth,8
night,6
bit,6
day,6
time,5
everi,4
guess,4
caus,4
new,4
okay,4
brand,4
bodi,3
room,3
man,2
good,2
chorus,2
old,2
song,2
name,2
same,2
sleep,2
sweet,2
shine,2
work,2
young,2
bed,2
sinc,2
top,2
bar,2
singl,2
split,2
brighter,2
sweeter,2
hopin,2
onli,2
dream,2
home,2
sky,2
high,2
ground,2
reach,2
stone,2
mile,2
rais,2
hundr,2
tumbl,2
castl,2
eagl,2
silhouett,2
reason,2
travel,2
l,2
girl,1
stay,1
place,1
friend,1
soul,1
play,1
show,1
pleas,1
use,1
star,1
ani,1
rest,1
lead,1
til,1
parti,1
drop,1
half,1
stranger,1
regret,1
band,1
tv,1
few,1
gettin,1
heavi,1
pop,1
bottom,1
worst,1
pill,1
lick,1
recal,1
cheap,1
steadi,1
sheet,1
hangin,1
losin,1
sleepin,1
prime,1
love,1
life,1
turn,1
befor,1
door,1
sound,1
set,1
fill,1
moon,1
moment,1
shadow,1
stori,1
window,1
share,1
smoke,1
hill,1
age,1
busi,1
wife,1
crush,1
precious,1
weep,1
wood,1
pale,1
becam,1
sole,1
common,1
handl,1
roof,1
obsess,1
rotten,1
beam,1
blacken,1
provid,1
finest,1
babi,1
wait,1
leav,1
sun,1
line,1
town,1
honey,1
number,1
act,1
track,1
pack,1
bag,1
hotel,1
need,1
look,1
noth,1
move,1
wrong,1
dark,1
fight,1
em,1
fine,1
strong,1
faith,1
repeat,1
mountain,1
dawn,1
freedom,1
sunshin,1
waitin,1
vine,1
