word,count
es,26
el,19
un,11
love,8
yo,6
una,6
other,6
para,4
dond,4
entr,4
dos,4
lugar,4
life,4
same,4
carri,4
que,2
los,2
sea,2
hay,2
cuando,2
nos,2
tiempo,2
mundo,2
"""tÃº""",2
"""corazÃ³n""",2
cosa,2
otra,2
dice,2
voz,2
llorar,2
"""canciÃ³n""",2
parar,2
buscar,2
"""adiÃ³""",2
"""soÃ±ar""",2
escuchar,2
leav,2
hurt,2
higher,2
law,2
templ,2
sin,1
boca,1
agua,1
hablar,1
lluvia,1
sabor,1
cristal,1
feel,1
babi,1
night,1
need,1
noth,1
light,1
head,1
play,1
care,1
dead,1
someon,1
blood,1
bad,1
lot,1
jesus,1
brother,1
blame,1
mouth,1
share,1
rais,1
act,1
dont,1
forgiv,1
crawl,1
sister,1
drag,1
doin,1
cant,1
easier,1
holdin,1
oon,1
