word,count
love,16
man,15
crimson,9
babi,8
sail,8
world,6
hand,6
stand,5
countri,5
home,5
boy,5
qui,5
est,5
"""Ã """,5
time,4
hold,4
whole,4
mountain,4
top,4
wide,4
west,4
son,4
king,4
devil,4
gold,4
cest,4
thing,3
caus,3
show,3
warm,3
littl,3
live,3
way,3
instrument,3
mother,3
stay,3
poor,3
rich,3
good,2
someth,2
cold,2
bad,2
feel,2
sweet,2
danc,2
everybodi,2
easi,2
lot,2
jump,2
peopl,2
fight,2
nation,2
equal,2
today,2
mind,2
pleas,2
talk,2
ma,2
stone,2
heart,2
chorus,2
mean,2
kiss,2
ani,2
memori,2
paradis,2
thrill,2
un,2
pas,2
ne,2
night,1
arm,1
sometim,1
lone,1
woman,1
forgiv,1
proud,1
wait,1
walk,1
everyth,1
wish,1
beauti,1
such,1
soul,1
move,1
gotta,1
blue,1
happi,1
chanc,1
control,1
floor,1
train,1
bit,1
nice,1
chain,1
sister,1
swing,1
doin,1
rhythm,1
hip,1
motion,1
easier,1
notion,1
railroad,1
die,1
face,1
befor,1
last,1
year,1
mani,1
blow,1
drive,1
second,1
pride,1
surviv,1
slave,1
hundr,1
sweat,1
welt,1
class,1
fuss,1
life,1
need,1
leav,1
other,1
town,1
fool,1
mama,1
mar,1
tryin,1
weep,1
lonesom,1
blond,1
day,1
noth,1
same,1
use,1
doe,1
roll,1
truth,1
blind,1
somebodi,1
pay,1
father,1
brain,1
smoke,1
buy,1
dig,1
phone,1
small,1
silver,1
brand,1
art,1
john,1
due,1
discov,1
tea,1
cultur,1
uncl,1
wealth,1
health,1
lou,1
poetri,1
cri,1
break,1
care,1
wrong,1
smile,1
war,1
earth,1
fun,1
answer,1
troubl,1
brother,1
slowli,1
heat,1
surpris,1
bear,1
folk,1
dad,1
bigger,1
civil,1
butcher,1
record,1
bob,1
palac,1
dan,1
