Year,Loudness,Tempo,Duration,Hotness,famil,Songs
0,-12.707186588921283,117.78219727891167,227.8734878717204,0.11251862601253321,0.49554675062870523,1029
1926,-21.6725,101.0025,176.77015999999998,0,0.5948666454751887,2
1927,-16.135,131.06533333333334,188.69940999999997,0,0.5644670510190081,3
1929,-14.873,114.177,191.11138,0,0.5743000682773265,1
1930,-16.751,133.322,196.75383,0,0.5466500703253758,2
1934,-30.53,100.795,173.322,0,0.5743000682773265,1
1935,-17.0835,87.74000000000001,176.09097500000001,0,0.5190000723734253,2
1936,-10.697,38.443,192.80934,0,0.4817035856704062,1
1940,-18.69,101.5415,165.655055,0,0.5724708877839468,2
1947,-19.494500000000002,113.6245,177.906485,0,0.4258833216131893,2
1950,-16.472,93.707,173.50485,0,0.5050743033677243,1
1953,-12.39625,93.98375,168.47628250000002,0,0.5203982496553066,4
1954,-9.302,98.018,190.64118,0.42744657148843085,0.5205537457116164,1
1956,-9.820200000000002,105.20780000000002,169.90518000000003,0,0.6807561780660893,5
1957,-12.057,108.926,159.05914,0,0.5916960688222075,1
1958,-16.678,99.959,295.60118,0,0.5602156477144903,1
1959,-17.347599999999996,101.4054,144.64999799999998,0,0.5144508037178803,5
1960,-12.457666666666668,115.115,204.95628333333335,0.37566223434076634,0.5953812904890876,3
1961,-14.8085,107.627,184.22812,0.08367663726730515,0.4134970806672884,4
1962,-18.57,163.942,124.52526,0,0.5005069651416891,1
1963,-8.985999999999999,119.93675000000002,167.53260875,0.10562276114321226,0.5699870402081638,8
1964,-11.286000000000001,130.10266666666666,173.27846,0.3665590779576886,0.7273586814951317,3
1965,-13.273499999999999,95.01075,188.46648499999998,0,0.5782998193004898,4
1966,-10.5672,127.16720000000001,166.56673,0.2506871516995622,0.6199784490175679,5
1967,-14.464181818181817,123.161,192.0897881818182,0.12843287390106645,0.5711361045843527,11
1968,-11.6542,98.20120000000001,196.50305600000002,0.06694130981384412,0.5186606519758622,5
1969,-9.8255,126.79783333333334,284.59492,0.2889072950777925,0.709437092075819,6
1970,-7.997,120.949,215.117915,0.40523988839362435,0.5956107469623274,6
1971,-12.347999999999997,120.39939999999999,279.55415899999997,0.27533034623554303,0.6060724451375775,10
1972,-14.911625,109.45275000000001,285.07056875,0.23655165839367667,0.6763150223091239,8
1973,-9.984875,120.875125,294.9415875,0.24658696841882166,0.597116775367939,8
1974,-8.935799999999999,119.7818,282.722812,0.29469773995424375,0.7093290715535001,5
1975,-11.42842857142857,114.93371428571427,280.4800142857143,0.3313068087747282,0.641203793626839,7
1976,-12.309833333333332,130.73166666666665,220.28580333333332,0.10875303621626559,0.6761791579126094,6
1977,-13.201444444444444,127.10133333333334,279.01342333333326,0.35259821946903547,0.6008538799749248,9
